Computer_TS,A Phase Voltage,A Phase Current,A Phase Active Power,A Phase Reactive Power,A Phase Apparent Power,A Power Factor,B Phase Voltage,B Phase Current,B Phase Active Power,B Phase Reactive Power,B Phase Apparent Power,B Power Factor,C Phase Voltage,C Phase Current,C Phase Active Power,C Phase Reactive Power,C Phase Apparent Power,C Power Factor,Frequency,DC Voltage,DC Current,Temperature
2025-03-25 13:08:34.869,1.400,0.013,0.000,0.000,0.000,0.000,6.010,0.000,0.000,0.000,0.000,0.000,10.188,0.000,0.000,0.000,0.000,0.000,96.545,0.000,51.100,3.240
2025-03-25 13:08:35.877,1.420,0.014,0.000,0.000,0.000,0.000,6.077,0.000,0.000,0.000,0.000,0.000,9.843,0.000,0.000,0.000,0.000,0.000,97.879,0.000,51.000,3.230
2025-03-25 13:08:36.885,1.420,0.014,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,76.788,0.000,51.000,3.270
2025-03-25 13:08:37.892,1.400,0.013,0.000,0.000,0.000,0.000,6.118,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,94.000,0.000,51.000,3.250
2025-03-25 13:08:38.900,1.400,0.000,0.000,0.000,0.000,0.000,6.077,0.000,0.000,0.000,0.000,0.000,9.843,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.280
2025-03-25 13:08:39.908,1.420,0.016,0.000,0.000,0.000,0.000,6.077,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,84.909,0.000,51.000,3.240
2025-03-25 13:08:40.916,1.400,0.017,0.000,0.000,0.000,0.000,6.020,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,97.758,0.000,51.100,3.260
2025-03-25 13:08:41.924,1.420,0.016,0.000,0.000,0.000,0.000,6.020,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,76.848,0.000,51.000,3.250
2025-03-25 13:08:42.931,1.420,0.012,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,10.173,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.280
2025-03-25 13:08:43.938,1.440,0.014,0.000,0.000,0.000,0.000,6.149,0.000,0.000,0.000,0.000,0.000,9.848,0.000,0.000,0.000,0.000,0.000,88.727,0.000,51.000,3.270
2025-03-25 13:08:44.956,1.420,0.009,0.000,0.000,0.000,0.000,6.133,0.000,0.000,0.000,0.000,0.000,10.842,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.210
2025-03-25 13:08:45.963,1.420,0.013,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,83.333,0.000,51.000,3.220
2025-03-25 13:08:46.971,1.420,0.015,0.000,0.000,0.000,0.000,6.061,0.000,0.000,0.000,0.000,0.000,9.843,0.000,0.000,0.000,0.000,0.000,72.303,0.000,51.000,3.280
2025-03-25 13:08:50.999,1.460,0.014,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,10.847,0.000,0.000,0.000,0.000,0.000,79.152,0.000,51.000,3.190
2025-03-25 13:08:52.007,1.420,0.000,0.000,0.000,0.000,0.000,6.020,0.000,0.000,0.000,0.000,0.000,9.843,0.000,0.000,0.000,0.000,0.000,83.758,0.000,51.000,3.250
2025-03-25 13:08:53.014,1.400,0.014,0.000,0.000,0.000,0.000,6.061,0.000,0.000,0.000,0.000,0.000,9.843,0.000,0.000,0.000,0.000,0.000,82.364,0.000,51.000,3.250
2025-03-25 13:08:54.024,1.400,0.017,0.000,0.000,0.000,0.000,6.020,0.000,0.000,0.000,0.000,0.000,10.173,0.000,0.000,0.000,0.000,0.000,85.939,0.000,51.000,3.270
2025-03-25 13:08:55.031,1.400,0.021,0.000,0.000,0.000,0.000,6.190,0.000,0.000,0.000,0.000,0.000,10.508,0.000,0.000,0.000,0.000,0.000,116.303,0.000,51.000,3.230
2025-03-25 13:08:56.038,1.420,0.014,0.000,0.000,0.000,0.000,6.077,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,90.667,0.000,51.000,3.250
2025-03-25 13:08:57.046,1.400,0.016,0.000,0.000,0.000,0.000,6.077,0.000,0.000,0.000,0.000,0.000,9.843,0.000,0.000,0.000,0.000,0.000,82.727,0.000,51.000,3.270
2025-03-25 13:08:58.054,1.460,0.015,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,10.842,0.000,0.000,0.000,0.000,0.000,92.364,0.000,51.100,3.230
2025-03-25 13:08:59.066,1.400,0.015,0.000,0.000,0.000,0.000,6.118,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,104.182,0.000,51.100,3.270
2025-03-25 13:09:00.073,1.440,0.015,0.000,0.000,0.000,0.000,6.020,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,83.515,0.000,51.000,3.240
2025-03-25 13:09:01.083,1.400,0.016,0.000,0.000,0.000,0.000,6.061,0.000,0.000,0.000,0.000,0.000,10.173,0.000,0.000,0.000,0.000,0.000,87.030,0.000,51.100,3.250
2025-03-25 13:09:02.092,1.420,0.017,0.000,0.000,0.000,0.000,6.077,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,84.242,0.000,51.100,3.230
2025-03-25 13:09:03.100,1.400,0.015,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,10.178,0.000,0.000,0.000,0.000,0.000,91.091,0.000,51.000,3.260
2025-03-25 13:09:05.109,1.420,0.016,0.000,0.000,0.000,0.000,6.149,0.000,0.000,0.000,0.000,0.000,9.843,0.000,0.000,0.000,0.000,0.000,103.636,0.000,51.000,3.260
2025-03-25 13:09:07.117,1.420,0.014,0.000,0.000,0.000,0.000,6.179,0.000,0.000,0.000,0.000,0.000,10.858,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.250
2025-03-25 13:09:10.128,1.541,0.024,0.000,0.000,0.000,0.000,6.359,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.250
