Computer_TS,A Phase Voltage,A Phase Current,A Phase Active Power,A Phase Reactive Power,A Phase Apparent Power,A Power Factor,B Phase Voltage,B Phase Current,B Phase Active Power,B Phase Reactive Power,B Phase Apparent Power,B Power Factor,C Phase Voltage,C Phase Current,C Phase Active Power,C Phase Reactive Power,C Phase Apparent Power,C Power Factor,Frequency,DC Voltage,DC Current,Temperature
2025-03-29 19:26:25.064,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.244,0.000,0.000,0.000,0.000,0.000,62.485,3.239,60.500,5.640
2025-03-29 19:26:28.073,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.545,2.377,49.400,4.980
2025-03-29 19:26:30.082,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.289,0.000,0.000,0.000,0.000,0.000,62.545,2.372,49.300,4.970
2025-03-29 19:26:33.091,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.367,49.200,4.960
2025-03-29 19:26:36.101,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.362,49.100,4.950
2025-03-29 19:26:38.110,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.257,0.000,0.000,0.000,0.000,0.000,62.485,2.357,48.900,4.930
2025-03-29 19:26:41.120,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.545,2.362,49.100,4.950
2025-03-29 19:26:44.130,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.362,49.000,4.950
2025-03-29 19:26:46.139,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.367,49.200,4.960
2025-03-29 19:26:49.149,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.362,49.100,4.950
2025-03-29 19:26:52.159,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.372,49.300,4.970
2025-03-29 19:26:54.167,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.362,49.100,4.950
2025-03-29 19:26:57.178,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.485,2.367,49.200,4.960
2025-03-29 19:27:00.188,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.485,2.367,49.200,4.960
